vor_id,ident,region,lonx,laty
1989,GCV,K7,-88.48612778,31.09796111
1990,GEF,K7,-83.78313333,30.55134167
1991,GHM,K7,-87.45176389,35.83392222
1992,GLH,K7,-90.98293889,33.52353056
1993,GNV,K7,-82.27297222,29.69211389
1994,GPT,K7,-89.07677778,30.40683333
1995,GQO,K7,-85.15336944,34.961275
1996,GRD,K7,-82.15415,34.25156667
1997,GSB,K7,-77.97131667,35.33519722
1998,GSO,K7,-79.976375,36.04569167
1999,HAB,K7,-88.01161944,34.19876944
2000,HCH,K7,-84.97845278,35.78101389
2001,HEY,K7,-85.65278056,31.37413611
2002,HEZ,K7,-91.29964444,31.61817778
2003,HLI,K7,-89.49651944,34.77024444
2004,HLL,K7,-85.6778,30.11965833
2005,HMV,K7,-82.1296,36.43705556
2006,HRS,K7,-83.91568056,34.94300556
2007,HRT,K7,-86.69033333,30.428
2008,HST,K7,-80.37941389,25.48998056
2009,IFM,K7,-83.48886944,31.42865556
2010,IGB,K7,-88.51358889,33.48548611
2011,ILM,K7,-77.87438056,34.35164722
2012,IRQ,K7,-82.16206389,33.70735278
2013,ISO,K7,-77.55833056,35.37094167
2014,LAL,K7,-82.01389167,27.98618056
2015,LBV,K7,-81.39143889,26.82818611
2016,LBY,K7,-89.33760278,31.41868333
2017,LDK,K7,-87.53688889,33.25886111
2018,LGC,K7,-85.20622222,33.04911944
2019,LIB,K7,-79.61259167,35.81162222
2020,LSF,K7,-84.99326389,32.33236944
2021,LVT,K7,-85.16662222,36.58450833
2022,MAI,K7,-85.12446944,30.78619444
2023,MCB,K7,-90.25820278,31.30445278
2024,MCF,K7,-82.51350833,27.86116111
2025,MCN,K7,-83.64718333,32.69118611
2026,MEI,K7,-88.80426667,32.37843889
2027,MEM,K7,-89.98320833,35.01511667
2028,MGM,K7,-86.31972778,32.22228056
2029,MGR,K7,-83.80422778,31.08226944
2030,MHZ,K7,-90.09977222,32.43406944
2031,MKL,K7,-88.91043056,35.60356667
2032,MLB,K7,-80.63533889,28.10528333
2033,MMT,K7,-80.80234167,33.92409444
2034,MSL,K7,-87.49151667,34.70686944
2035,MVC,K7,-87.35253889,31.459325
2036,MXF,K7,-86.36835556,32.37936667
2037,NBC,K7,-80.71733056,32.47903333
2038,NCA,K7,-77.4403,34.70714167
2039,NGS,K7,-86.93736389,30.61515556
2040,NIP,K7,-81.67505556,30.23485
2041,NJM,K7,-77.02723333,34.68963611
2042,NKT,K7,-76.87479444,34.90226389
2043,NMM,K7,-88.54523056,32.57833889
2044,NPA,K7,-87.31650278,30.35794167
2045,NQX,K7,-81.68244722,24.58024722
2046,NRB,K7,-81.42307778,30.38861389
2047,NSE,K7,-87.01808889,30.72400833
2048,NUN,K7,-87.3359,30.47214167
2049,NZC,K7,-81.87090833,30.22035
2050,OCF,K7,-82.22633333,29.17747778
2051,ODF,K7,-83.29766111,34.69587222
2052,OKW,K7,-87.24986667,33.23788611
2053,OMN,K7,-81.11269722,29.30325278
2054,ORL,K7,-81.33501944,28.542725
2055,OTB,K7,-88.79735833,34.22383056
2056,OTK,K7,-83.27972778,30.78044444
2057,OZR,K7,-85.72631389,31.26894722
2058,PAM,K7,-85.57240833,30.07400833
2059,PBI,K7,-80.08648889,26.68005556
2060,PCU,K7,-89.73048889,30.56116667
2061,PDK,K7,-84.29881389,33.87563056
2062,PGD,K7,-81.99133333,26.91683333
2063,PHK,K7,-80.69143333,26.78274167
2064,PIE,K7,-82.68430833,27.90776389
2065,POB,K7,-79.01957222,35.16842222
2066,PZD,K7,-84.2931,31.65520556
2067,RBX,K7,-75.69693333,35.92049722
2068,RDU,K7,-78.78334167,35.87252222
2069,RMG,K7,-85.11939722,34.16256111
2070,RQZ,K7,-86.63384722,34.79723889
2071,RRS,K7,-85.43120833,31.28458611
2072,RSW,K7,-81.77576667,26.529875
2073,SAV,K7,-81.19910556,32.14626667
2074,SDZ,K7,-79.58793611,35.21548056
2075,SGJ,K7,-81.33021944,29.956725
2076,SJI,K7,-88.35929444,30.72598056
2077,SOT,K7,-83.05236944,35.7901
